Reference,Description,Price A,Category,Codigo de Barra,Rubro,Sub Rubro,Cant x Bulto,Stock,Comprado,Pendiente,Disponible,Temporada,Marca,Características,Observaciones,Price F,Tipo
G040065,BASICO POLO - MINT,7.15,,_601202186341,HOMBRES,POLO BASICO,24,2106,0,0,2106,,GENTS,S-XL,,0,REGULAR
G040066,POLO WITH DESIGN - BLUE,7.5,,,HOMBRES,POLOS,24,0,288,0,288,,GENTS,S-XL (2-4-4-2),,0,
G040066X,POLO PAPA WITH DESIGN - BLUE,9.12,,,PAPA SIZE,POLOS,24,0,288,0,288,,GENTS,1XL-3XL (4-4-4),,0,
G040067,POLO WITH DESIGN - OLIVE,7.5,,,HOMBRES,POLOS,24,0,288,0,288,,GENTS,S-XL (2-4-4-2),,0,
G040067X,POLO PAPA WITH DESIGN - OLIVE,9.12,,,PAPA SIZE,POLOS,24,0,288,0,288,,GENTS,1XL-3XL (4-4-4),,0,
G040068,POLO WITH DESIGN - RED,7.5,,,HOMBRES,POLOS,24,0,288,0,288,,GENTS,S-XL (2-4-4-2),,0,
G040068X,POLO PAPA WITH DESIGN - RED,9.12,,,PAPA SIZE,POLOS,24,0,288,0,288,,GENTS,1XL-3XL (4-4-4),,0,
G040069,POLO WITH DESIGN - BLUE,7.5,,,HOMBRES,POLOS,24,0,288,0,288,,GENTS,S-XL (2-4-4-2),,0,
G040070,POLO WITH DESIGN - RED,7.5,,,HOMBRES,POLOS,24,0,288,0,288,,GENTS,S-XL (2-4-4-2),,0,
G040071,POLO WITH DESIGN - WHITE,7.5,,,HOMBRES,POLOS,24,0,288,0,288,,GENTS,S-XL (2-4-4-2),,0,
G040072,POLO WITH DESIGN - NAVY,7.5,,,HOMBRES,POLOS,24,0,288,0,288,,GENTS,S-XL (2-4-4-2),,0,
G040072X,POLO PAPA WITH DESIGN - NAVY,9.12,,,PAPA SIZE,POLOS,24,0,288,0,288,,GENTS,1XL-3XL (4-4-4),,0,
G040073,POLO WITH DESIGN - WHITE,7.5,,,HOMBRES,POLOS,24,0,288,0,288,,GENTS,S-XL (2-4-4-2),,0,
G040073X,POLO PAPA WITH DESIGN - WHITE,9.12,,,PAPA SIZE,POLOS,24,0,288,0,288,,GENTS,1XL-3XL (4-4-4),,0,
G040074,POLO WITH DESIGN - RED,7.5,,,HOMBRES,POLOS,24,0,288,0,288,,GENTS,S-XL (2-4-4-2),,0,
G040074X,POLO PAPA WITH DESIGN - RED,9.12,,,PAPA SIZE,POLOS,24,0,288,0,288,,GENTS,1XL-3XL (4-4-4),,0,
G040075,POLO WITH DESIGN - RED,7.5,,,HOMBRES,POLOS,24,0,288,0,288,,GENTS,S-XL (2-4-4-2),,0,
G040076,POLO WITH DESIGN - WHITE,7.5,,,HOMBRES,POLOS,24,0,288,0,288,,GENTS,S-XL (2-4-4-2),,0,
G040077,POLO WITH DESIGN - NAVY,7.5,,,HOMBRES,POLOS,24,0,288,0,288,,GENTS,S-XL (2-4-4-2),,0,
G040078,POLO WITH DESIGN - BLUE,7.5,,,HOMBRES,POLOS,24,0,288,0,288,,GENTS,S-XL (2-4-4-2),,0,
